Número da Trajetória,Overlap,Sorteio,Tempo 1,Tempo 2,Tempo 3,Score total,Score Parcial,Proporção espacial x,Proporção espacial y,Trajetória Completa,Trajetória Simplificada
[[1]],[[0]],[[5]],[[737434.44112675]],[[737434.44112675]],[[737434.4413006]],[[0.6]],[[0.49256398]],[[0.82692308]],[[0.81495686]],"['[3, 3, 3, 1, 4, 1, 4, 1, 4, 3, 3, 3]']","['[3, 1, 4, 1, 4, 1, 4, 3]']"
[[2]],[[0]],[[13]],[[737434.44214771]],[[737434.44214486]],[[737434.44232142]],[[0.26666667]],[[0.18567176]],[[0.80576923]],[[0.58676894]],"['[3, 4, 1, 1, 1, 3, 3, 3]']","['[3, 4, 1, 3]']"
[[3]],[[0]],[[7]],[[737434.44316896]],[[737434.44316896]],[[737434.44334265]],[[0.3]],[[0.19359641]],[[0.71346154]],[[0.57718121]],"['[3, 3, 1, 1, 8, 4, 3, 3, 3]']","['[3, 1, 8, 4, 3]']"
[[4]],[[0]],[[8]],[[737434.44422226]],[[737434.44422226]],[[737434.44439594]],[[0.54761905]],[[0.44119955]],[[0.875]],[[0.73633749]],"['[1, 1, 1, 3, 3, 2, 2, 2, 3, 1, 1, 1]']","['[1, 3, 2, 3, 1]']"
[[5]],[[0]],[[27]],[[737434.44523465]],[[737434.44523465]],[[737434.44540836]],[[0.52380952]],[[0.0684098]],[[0.14423077]],[[0.11697028]],"['[5, 1, 3, 5, 2, 4, 1, 3, 2, 4, 1, 3, 2, 8, 3]']","['[5, 1, 3, 5, 2, 4, 1, 3, 2, 4, 1, 3, 2, 8, 3]']"
[[6]],[[0]],[[3]],[[737434.44621839]],[[737434.44621839]],[[737434.44639208]],[[0.38095238]],[[0.27804586]],[[0.83653846]],[[0.6232023]],"['[3, 3, 3, 4, 4, 4, 1, 1, 1, 3, 3, 3, 4, 4, 4]']","['[3, 4, 1, 3, 4]']"
[[7]],[[0]],[[18]],[[737434.44721911]],[[737434.44721626]],[[737434.44739279]],[[0.07407407]],[[0.04745003]],[[0.41346154]],[[0.86768936]],"['[5, 2, 5, 2, 1, 1, 1, 3, 2, 2, 2, 1, 2, 1, 1, 1]']","['[5, 2, 5, 2, 1, 3, 2, 1, 2, 1]']"
[[8]],[[0]],[[24]],[[737434.44821697]],[[737434.44821697]],[[737434.44839067]],[[0.25925926]],[[0.20326703]],[[0.82884615]],[[0.73921381]],"['[1, 1, 1, 3, 2, 2, 2, 1, 3, 1, 1, 3, 2, 2]']","['[1, 3, 2, 1, 3, 1, 3, 2]']"
[[9]],[[0]],[[6]],[[737434.44920618]],[[737434.44920618]],[[737434.44937986]],[[0.2037037]],[[0.13589267]],[[0.86346154]],[[0.47075743]],"['[3, 3, 4, 4, 1, 3, 3, 7, 1, 1, 4, 4, 4, 1, 3, 3, 3, 4]']","['[3, 4, 1, 3, 7, 1, 4, 1, 3, 4]']"
[[1]],[[0.25]],[[11]],[[737434.45021711]],[[737434.45021427]],[[737434.4503908]],[[0.53333333]],[[0.37307864]],[[0.73461538]],[[0.66442953]],"['[3, 3, 3, 1, 1, 1, 4, 4]']","['[3, 1, 4]']"
[[2]],[[0.25]],[[15]],[[737434.45119907]],[[737434.45119624]],[[737434.45137278]],[[0.26666667]],[[0.17456695]],[[0.85]],[[0.45925216]],"['[1, 1, 1, 3, 2, 3, 3, 1, 4, 4, 4]']","['[1, 3, 2, 3, 1, 4]']"
