Sorteio,Tempo 1,Tempo 2,ID,Fase,Score total,Score Parcial,Proporção espacial x,Proporção espacial y,Trajetória Completa,Trajetória Simplificada,Acuracia,Media Acuracia,Taxa de Falsos Positivos,Media FPR,Similaridade,Media Similaridade,Desempenho,Desempenho ponderado com proporção,Complexidade,nivel
1,737434.5238110301,737434.524100382,df_ID_08,Fase Execucao,0.0,0.0,0.8461538461538461,0.8168744007670182,"[1, 1, 1, 2, 3, 2, 3, 3, 2, 4, 4, 4]","[1, 2, 3, 2, 3, 2, 4]",0.375,0.5173611111111112,1.0,0.4222222222222221,0.8367430244040812,0.8187436174772847,0.403914341468027,0.3358604795988842,4,Fácil
14,737434.5251196527,737434.5254090047,df_ID_08,Fase Execucao,0.1333333333333333,0.1125341101851169,0.8653846153846154,0.822627037392138,"[1, 1, 1, 3, 3, 3, 2, 2, 4, 2, 4]","[1, 3, 2, 4, 2, 4]",0.5625,0.5173611111111112,0.7142857142857143,0.4222222222222221,0.8863192865255393,0.8187436174772847,0.578177857413275,0.4879854803455522,4,Fácil
15,737434.5267964583,737434.5270858217,df_ID_08,Fase Execucao,0.3,0.2523446603731839,0.8788461538461538,0.8034515819750719,"[1, 1, 3, 1, 3, 3, 2, 2, 4, 2, 4, 4]","[1, 3, 1, 3, 2, 4, 2, 4]",0.6875,0.5173611111111112,0.6,0.4222222222222221,0.8367430244040812,0.8187436174772847,0.641414341468027,0.5395249471874622,4,Fácil
6,737434.5281625463,737434.5284518981,df_ID_08,Fase Execucao,0.238095238095238,0.2129430373078503,0.8788461538461538,0.909875359539789,"[1, 1, 1, 3, 3, 3, 2, 2, 2, 4, 4, 4]","[1, 3, 2, 4]",0.625,0.5173611111111112,1.0,0.4222222222222221,0.8770580193070291,0.8187436174772847,0.5006860064356764,0.4477939155813935,6,Médio
18,737434.5296391782,737434.5299285301,df_ID_08,Fase Execucao,0.5476190476190476,0.4592483818514499,0.7923076923076923,0.8849472674976031,"[1, 2, 1, 1, 2, 3, 3, 3, 1, 1, 4, 4, 2, 2, 2, 4]","[1, 2, 1, 2, 3, 1, 4, 2, 4]",0.6875,0.5173611111111112,0.6666666666666666,0.4222222222222221,0.8781140799175228,0.8187436174772847,0.6329824710836188,0.5308364945474058,6,Médio
8,737434.5310792709,737434.5313686343,df_ID_08,Fase Execucao,0.4285714285714285,0.3935771443321778,0.8903846153846153,0.9463087248322148,"[1, 1, 1, 3, 3, 3, 2, 4, 4, 3, 3, 2, 4, 4, 4, 7, 3, 3, 4, 4, 4]","[1, 3, 2, 4, 3, 2, 4, 7, 3, 4]",1.0,0.5173611111111112,0.0,0.4222222222222221,0.8292360634509895,0.8187436174772847,0.9430786878169966,0.8660731726069523,6,Médio
16,737434.5324621991,737434.5327515509,df_ID_08,Fase Execucao,0.3148148148148147,0.2898619852059448,0.8865384615384615,0.9549376797698944,"[3, 1, 1, 1, 3, 3, 2, 2, 2, 4, 4, 1, 2, 4]","[3, 1, 3, 2, 4, 1, 2, 4]",0.5625,0.5173611111111112,1.0,0.4222222222222221,0.8022422809510465,0.8187436174772847,0.4549140936503488,0.4188567249010163,8,Difícil
4,737434.5340409027,737434.5343302547,df_ID_08,Fase Execucao,0.4074074074074074,0.3635823410991196,0.8692307692307693,0.9156279961649088,"[3, 1, 3, 1, 3, 1, 4, 4, 4, 2, 3, 2, 3, 3, 2, 4, 4, 4]","[3, 1, 3, 1, 3, 1, 4, 2, 3, 2, 3, 2, 4]",0.8125,0.5173611111111112,1.0,0.4222222222222221,0.7445026672387419,0.8187436174772847,0.5190008890795806,0.4631716430609198,8,Difícil
2,737434.5349811111,737434.5352704745,df_ID_08,Fase Execucao,0.1851851851851851,0.1656192893609001,0.8673076923076923,0.9213806327900288,"[1, 1, 1, 3, 3, 3, 2, 2, 2, 4, 4, 4]","[1, 3, 2, 4]",0.5625,0.5173611111111112,1.0,0.4222222222222221,0.7694875639743057,0.8187436174772847,0.4439958546581019,0.3970851008093658,8,Difícil
9,737434.5362731366,737434.5365625,df_ID_08,Fase Execucao,0.3666666666666667,0.3048885119354918,0.8461538461538461,0.8168744007670182,"[2, 2, 2, 1, 3, 1, 3, 3, 1, 4, 4, 4]","[2, 1, 3, 1, 3, 1, 4]",0.5625,0.5173611111111112,0.0,0.4222222222222221,0.8013876853447538,0.8187436174772847,0.7879625617815846,0.655201998879451,4,Fácil
