,Número da Trajetória,Overlap,Tempo 1,Tempo 2,Tempo 3,ID
0,1,0.0,2019-01-09 10:35:13.350996,2019-01-09 10:35:13.350996,2019-01-09 10:35:28.371997,ID_07
1,2,0.0,2019-01-09 10:36:41.562004,2019-01-09 10:36:41.315999,2019-01-09 10:36:56.570995,ID_07
2,3,0.0,2019-01-09 10:38:09.797997,2019-01-09 10:38:09.797997,2019-01-09 10:38:24.804997,ID_07
3,4,0.0,2019-01-09 10:39:40.802995,2019-01-09 10:39:40.802995,2019-01-09 10:39:55.808999,ID_07
4,5,0.0,2019-01-09 10:41:08.273995,2019-01-09 10:41:08.273995,2019-01-09 10:41:23.282001,ID_07
5,6,0.0,2019-01-09 10:42:33.268998,2019-01-09 10:42:33.268998,2019-01-09 10:42:48.275998,ID_07
6,7,0.0,2019-01-09 10:43:59.731001,2019-01-09 10:43:59.484996,2019-01-09 10:44:14.736995,ID_07
7,8,0.0,2019-01-09 10:45:25.946004,2019-01-09 10:45:25.946004,2019-01-09 10:45:40.953999,ID_07
8,9,0.0,2019-01-09 10:46:51.413997,2019-01-09 10:46:51.413997,2019-01-09 10:47:06.420001,ID_07
9,1,0.25,2019-01-09 10:48:18.758001,2019-01-09 10:48:18.513002,2019-01-09 10:48:33.765001,ID_07
10,2,0.25,2019-01-09 10:49:43.599997,2019-01-09 10:49:43.354998,2019-01-09 10:49:58.608003,ID_07
11,3,0.25,2019-01-09 10:51:09.815995,2019-01-09 10:51:09.815995,2019-01-09 10:51:24.823005,ID_07
12,4,0.25,2019-01-09 10:52:35.909996,2019-01-09 10:52:35.664996,2019-01-09 10:52:50.918002,ID_07
13,5,0.25,2019-01-09 10:54:00.876997,2019-01-09 10:54:00.876997,2019-01-09 10:54:15.883996,ID_07
14,6,0.25,2019-01-09 10:55:23.099001,2019-01-09 10:55:23.099001,2019-01-09 10:55:38.106000,ID_07
15,7,0.25,2019-01-09 10:56:45.329001,2019-01-09 10:56:45.329001,2019-01-09 10:57:00.336001,ID_07
16,8,0.25,2019-01-09 10:58:08.056998,2019-01-09 10:58:08.056998,2019-01-09 10:58:23.063997,ID_07
17,9,0.25,2019-01-09 10:59:32.531001,2019-01-09 10:59:32.531001,2019-01-09 10:59:47.538001,ID_07
18,1,0.5,2019-01-09 11:00:58.254998,2019-01-09 11:00:58.254998,2019-01-09 11:01:13.261998,ID_07
19,2,0.5,2019-01-09 11:02:23.102003,2019-01-09 11:02:22.855998,2019-01-09 11:02:38.109003,ID_07
20,3,0.5,2019-01-09 11:03:48.832005,2019-01-09 11:03:48.832005,2019-01-09 11:04:03.839005,ID_07
21,4,0.5,2019-01-09 11:05:16.054002,2019-01-09 11:05:16.054002,2019-01-09 11:05:31.061002,ID_07
22,5,0.5,2019-01-09 11:06:39.780997,2019-01-09 11:06:39.780997,2019-01-09 11:06:54.787997,ID_07
23,6,0.5,2019-01-09 11:08:05.144002,2019-01-09 11:08:04.897997,2019-01-09 11:08:20.151002,ID_07
24,7,0.5,2019-01-09 11:09:33.010001,2019-01-09 11:09:32.763996,2019-01-09 11:09:48.017001,ID_07
25,8,0.5,2019-01-09 11:11:00.747999,2019-01-09 11:11:00.747999,2019-01-09 11:11:15.754002,ID_07
26,9,0.5,2019-01-09 11:12:29.101000,2019-01-09 11:12:28.856000,2019-01-09 11:12:44.107003,ID_07
27,1,0.0,2019-01-09 10:35:43.059998,2019-01-09 10:35:43.059998,2019-01-09 10:35:58.073002,ID_07
28,2,0.0,2019-01-09 10:37:10.350995,2019-01-09 10:37:10.105995,2019-01-09 10:37:25.363004,ID_07
29,3,0.0,2019-01-09 10:38:40.470995,2019-01-09 10:38:40.470995,2019-01-09 10:38:55.476999,ID_07
30,4,0.0,2019-01-09 10:40:10.459996,2019-01-09 10:40:10.459996,2019-01-09 10:40:25.466996,ID_07
31,5,0.0,2019-01-09 10:41:36.460002,2019-01-09 10:41:36.460002,2019-01-09 10:41:51.467002,ID_07
32,6,0.0,2019-01-09 10:43:01.924003,2019-01-09 10:43:01.924003,2019-01-09 10:43:16.929996,ID_07
33,7,0.0,2019-01-09 10:44:28.889001,2019-01-09 10:44:28.642995,2019-01-09 10:44:43.895005,ID_07
34,8,0.0,2019-01-09 10:45:53.851002,2019-01-09 10:45:53.851002,2019-01-09 10:46:08.858002,ID_07
35,9,0.0,2019-01-09 10:47:21.068000,2019-01-09 10:47:21.068000,2019-01-09 10:47:36.075000,ID_07
36,1,0.25,2019-01-09 10:48:46.786998,2019-01-09 10:48:46.541003,2019-01-09 10:49:01.793998,ID_07
37,2,0.25,2019-01-09 10:50:12.378005,2019-01-09 10:50:12.134001,2019-01-09 10:50:27.385004,ID_07
38,3,0.25,2019-01-09 10:51:38.470004,2019-01-09 10:51:38.470004,2019-01-09 10:51:53.477004,ID_07
39,4,0.25,2019-01-09 10:53:04.693002,2019-01-09 10:53:04.448003,2019-01-09 10:53:19.700002,ID_07
40,5,0.25,2019-01-09 10:54:28.281998,2019-01-09 10:54:28.281998,2019-01-09 10:54:43.288997,ID_07
41,6,0.25,2019-01-09 10:55:50.506004,2019-01-09 10:55:50.506004,2019-01-09 10:56:05.513003,ID_07
42,7,0.25,2019-01-09 10:57:12.736004,2019-01-09 10:57:12.736004,2019-01-09 10:57:27.744000,ID_07
43,8,0.25,2019-01-09 10:58:35.966995,2019-01-09 10:58:35.966995,2019-01-09 10:58:50.972999,ID_07
44,9,0.25,2019-01-09 11:00:01.192996,2019-01-09 11:00:01.194002,2019-01-09 11:00:16.199000,ID_07
45,1,0.5,2019-01-09 11:01:26.663001,2019-01-09 11:01:26.663001,2019-01-09 11:01:41.670001,ID_07
46,2,0.5,2019-01-09 11:02:51.138001,2019-01-09 11:02:50.893001,2019-01-09 11:03:06.145001,ID_07
47,3,0.5,2019-01-09 11:04:18.490997,2019-01-09 11:04:18.490997,2019-01-09 11:04:33.499003,ID_07
48,4,0.5,2019-01-09 11:05:43.961998,2019-01-09 11:05:43.961998,2019-01-09 11:05:58.968998,ID_07
49,5,0.5,2019-01-09 11:07:07.692996,2019-01-09 11:07:07.692996,2019-01-09 11:07:22.699000,ID_07
50,6,0.5,2019-01-09 11:08:34.680002,2019-01-09 11:08:34.435002,2019-01-09 11:08:49.687002,ID_07
51,7,0.5,2019-01-09 11:10:01.806999,2019-01-09 11:10:01.561999,2019-01-09 11:10:16.813998,ID_07
52,8,0.5,2019-01-09 11:11:30.906998,2019-01-09 11:11:30.906998,2019-01-09 11:11:45.913998,ID_07
53,9,0.5,2019-01-09 11:12:57.136997,2019-01-09 11:12:56.891997,2019-01-09 11:13:12.143001,ID_07
54,1,0.0,2019-01-09 10:36:12.764001,2019-01-09 10:36:12.764001,2019-01-09 10:36:27.773998,ID_07
55,2,0.0,2019-01-09 10:37:39.136999,2019-01-09 10:37:38.893005,2019-01-09 10:37:54.145004,ID_07
56,3,0.0,2019-01-09 10:39:11.127005,2019-01-09 10:39:11.127005,2019-01-09 10:39:26.134004,ID_07
57,4,0.0,2019-01-09 10:40:40.116001,2019-01-09 10:40:40.116001,2019-01-09 10:40:55.123001,ID_07
58,5,0.0,2019-01-09 10:42:04.615995,2019-01-09 10:42:04.615995,2019-01-09 10:42:19.623005,ID_07
59,6,0.0,2019-01-09 10:43:30.576995,2019-01-09 10:43:30.576995,2019-01-09 10:43:45.582999,ID_07
60,7,0.0,2019-01-09 10:44:58.040995,2019-01-09 10:44:57.795995,2019-01-09 10:45:13.048005,ID_07
61,8,0.0,2019-01-09 10:46:21.755005,2019-01-09 10:46:21.755005,2019-01-09 10:46:36.762004,ID_07
62,9,0.0,2019-01-09 10:47:50.722004,2019-01-09 10:47:50.722004,2019-01-09 10:48:05.727997,ID_07
63,1,0.25,2019-01-09 10:49:14.817001,2019-01-09 10:49:14.572001,2019-01-09 10:49:29.824001,ID_07
64,2,0.25,2019-01-09 10:50:41.163002,2019-01-09 10:50:40.916997,2019-01-09 10:50:56.168996,ID_07
65,3,0.25,2019-01-09 10:52:07.127996,2019-01-09 10:52:07.127996,2019-01-09 10:52:22.134995,ID_07
66,4,0.25,2019-01-09 10:53:33.471995,2019-01-09 10:53:33.228001,2019-01-09 10:53:48.479005,ID_07
67,5,0.25,2019-01-09 10:54:55.689001,2019-01-09 10:54:55.689001,2019-01-09 10:55:10.696000,ID_07
68,6,0.25,2019-01-09 10:56:17.916004,2019-01-09 10:56:17.916004,2019-01-09 10:56:32.921998,ID_07
69,7,0.25,2019-01-09 10:57:40.144003,2019-01-09 10:57:40.144003,2019-01-09 10:57:55.149997,ID_07
70,8,0.25,2019-01-09 10:59:03.875001,2019-01-09 10:59:03.875001,2019-01-09 10:59:18.881005,ID_07
71,9,0.25,2019-01-09 11:00:29.850002,2019-01-09 11:00:29.850002,2019-01-09 11:00:44.855996,ID_07
72,1,0.5,2019-01-09 11:01:55.069999,2019-01-09 11:01:55.069999,2019-01-09 11:02:10.076998,ID_07
73,2,0.5,2019-01-09 11:03:19.175004,2019-01-09 11:03:18.931000,2019-01-09 11:03:34.182004,ID_07
74,3,0.5,2019-01-09 11:04:48.147002,2019-01-09 11:04:48.147002,2019-01-09 11:05:03.154002,ID_07
75,4,0.5,2019-01-09 11:06:11.871000,2019-01-09 11:06:11.871996,2019-01-09 11:06:26.877999,ID_07
76,5,0.5,2019-01-09 11:07:35.606001,2019-01-09 11:07:35.606001,2019-01-09 11:07:50.611995,ID_07
77,6,0.5,2019-01-09 11:09:04.214000,2019-01-09 11:09:03.969000,2019-01-09 11:09:19.220999,ID_07
78,7,0.5,2019-01-09 11:10:30.591001,2019-01-09 11:10:30.346997,2019-01-09 11:10:45.597005,ID_07
79,8,0.5,2019-01-09 11:12:01.065002,2019-01-09 11:12:01.065002,2019-01-09 11:12:16.072002,ID_07
80,9,0.5,2019-01-09 11:13:25.176002,2019-01-09 11:13:24.931998,2019-01-09 11:13:40.183002,ID_07
81,1,0.0,2019-01-09 19:28:03.858003,2019-01-09 19:28:03.858003,2019-01-09 19:28:18.879999,ID_10
82,2,0.0,2019-01-09 19:29:27.194998,2019-01-09 19:29:27.194998,2019-01-09 19:29:42.203003,ID_10
83,3,0.0,2019-01-09 19:30:50.798004,2019-01-09 19:30:50.553005,2019-01-09 19:31:05.803998,ID_10
84,4,0.0,2019-01-09 19:32:16.258997,2019-01-09 19:32:16.258997,2019-01-09 19:32:31.265001,ID_10
85,5,0.0,2019-01-09 19:33:41.603002,2019-01-09 19:33:41.358003,2019-01-09 19:33:56.610002,ID_10
86,6,0.0,2019-01-09 19:35:09.328004,2019-01-09 19:35:09.328004,2019-01-09 19:35:24.336996,ID_10
87,7,0.0,2019-01-09 19:36:36.298997,2019-01-09 19:36:36.298997,2019-01-09 19:36:51.305001,ID_10
88,8,0.0,2019-01-09 19:38:04.404997,2019-01-09 19:38:04.159997,2019-01-09 19:38:19.411996,ID_10
89,9,0.0,2019-01-09 19:39:31.621995,2019-01-09 19:39:31.621995,2019-01-09 19:39:46.630001,ID_10
90,1,0.25,2019-01-09 19:41:00.592001,2019-01-09 19:41:00.592001,2019-01-09 19:41:15.597995,ID_10
91,2,0.25,2019-01-09 19:42:28.567998,2019-01-09 19:42:28.567998,2019-01-09 19:42:43.574997,ID_10
92,3,0.25,2019-01-09 19:43:53.296999,2019-01-09 19:43:53.296999,2019-01-09 19:44:08.303003,ID_10
93,4,0.25,2019-01-09 19:45:16.138996,2019-01-09 19:45:15.893000,2019-01-09 19:45:31.145995,ID_10
94,5,0.25,2019-01-09 19:46:41.856998,2019-01-09 19:46:41.856998,2019-01-09 19:46:56.863998,ID_10
95,6,0.25,2019-01-09 19:48:10.326997,2019-01-09 19:48:10.081001,2019-01-09 19:48:25.333001,ID_10
96,7,0.25,2019-01-09 19:49:39.304004,2019-01-09 19:49:39.304004,2019-01-09 19:49:54.309998,ID_10
97,8,0.25,2019-01-09 19:51:10.787002,2019-01-09 19:51:10.787002,2019-01-09 19:51:25.792996,ID_10
98,9,0.25,2019-01-09 19:52:39.150996,2019-01-09 19:52:38.905001,2019-01-09 19:52:54.157000,ID_10
99,1,0.5,2019-01-09 19:54:03.256002,2019-01-09 19:54:03.011002,2019-01-09 19:54:18.261996,ID_10
100,2,0.5,2019-01-09 19:55:27.748000,2019-01-09 19:55:27.748000,2019-01-09 19:55:42.755000,ID_10
101,3,0.5,2019-01-09 19:56:53.228999,2019-01-09 19:56:53.228999,2019-01-09 19:57:08.235003,ID_10
102,4,0.5,2019-01-09 19:58:18.467995,2019-01-09 19:58:18.467995,2019-01-09 19:58:33.475005,ID_10
103,5,0.5,2019-01-09 19:59:43.091002,2019-01-09 19:59:42.846003,2019-01-09 19:59:58.096996,ID_10
104,6,0.5,2019-01-09 20:01:08.822996,2019-01-09 20:01:08.822996,2019-01-09 20:01:23.829995,ID_10
105,7,0.5,2019-01-09 20:02:33.948997,2019-01-09 20:02:33.703998,2019-01-09 20:02:48.955997,ID_10
106,8,0.5,2019-01-09 20:03:59.438003,2019-01-09 20:03:59.438003,2019-01-09 20:04:14.443996,ID_10
107,9,0.5,2019-01-09 20:05:22.674998,2019-01-09 20:05:22.674998,2019-01-09 20:05:37.681002,ID_10
108,1,0.0,2019-01-09 19:28:31.815998,2019-01-09 19:28:31.815998,2019-01-09 19:28:46.829999,ID_10
109,2,0.0,2019-01-09 19:29:54.609001,2019-01-09 19:29:54.609001,2019-01-09 19:30:09.620004,ID_10
