Unnamed: 0,ID,Número da Trajetória,Overlap,Sequência Trajetória,N pontos trajetória,Blocos MATLAB,N blocos,Duração estimulação sensorial (s),Duração estimulação sensorial fórmula pretendida (s),Tempo 1,Tempo 2,Tempo 1 Corrigido,Tempo 3
0,ID_07,1,0.0,"[13, 9, 5, 1, 2, 3, 7, 11, 12, 8, 4]",11,"[1, 4, 6, 8, 9, 11]",5,2.5,2.5,2019-01-09 10:35:13.350996,2019-01-09 10:35:13.350996,2019-01-09 10:35:10.850996,2019-01-09 10:35:28.371997
1,ID_07,2,0.0,"[13, 14, 10, 11, 12, 8, 4, 3, 2]",9,"[1, 2, 3, 5, 7, 9]",5,2.5,2.5,2019-01-09 10:36:41.562004,2019-01-09 10:36:41.315999,2019-01-09 10:36:38.815999,2019-01-09 10:36:56.570995
2,ID_07,3,0.0,"[13, 9, 5, 6, 10, 14, 15, 16, 12, 8, 4]",11,"[1, 3, 4, 6, 8, 11]",5,2.5,2.5,2019-01-09 10:38:09.797997,2019-01-09 10:38:09.797997,2019-01-09 10:38:07.297997,2019-01-09 10:38:24.804997
3,ID_07,4,0.0,"[13, 14, 15, 11, 10, 9, 5, 6, 7, 8, 4, 3, 2, 1]",14,"[1, 3, 4, 6, 7, 10, 11, 14]",7,3.5,3.5,2019-01-09 10:39:40.802995,2019-01-09 10:39:40.802995,2019-01-09 10:39:37.302995,2019-01-09 10:39:55.808999
4,ID_07,5,0.0,"[13, 9, 10, 11, 15, 16, 12, 8, 4, 3, 2, 1, 5]",13,"[1, 2, 4, 5, 6, 9, 12, 13]",7,3.5,3.5,2019-01-09 10:41:08.273995,2019-01-09 10:41:08.273995,2019-01-09 10:41:04.773995,2019-01-09 10:41:23.282001
5,ID_07,6,0.0,"[13, 9, 5, 1, 2, 6, 10, 14, 15, 16, 12, 8, 4, 3, 7, 11]",16,"[1, 4, 5, 8, 10, 13, 14, 16]",7,3.5,3.5,2019-01-09 10:42:33.268998,2019-01-09 10:42:33.268998,2019-01-09 10:42:29.768998,2019-01-09 10:42:48.275998
6,ID_07,7,0.0,"[13, 9, 10, 14, 15, 16, 12, 8, 4, 3, 7, 6, 5, 1]",14,"[1, 2, 3, 4, 6, 9, 10, 11, 13, 14]",9,4.5,4.5,2019-01-09 10:43:59.731001,2019-01-09 10:43:59.484996,2019-01-09 10:43:54.984996,2019-01-09 10:44:14.736995
7,ID_07,8,0.0,"[13, 14, 15, 16, 12, 11, 7, 8, 3, 2, 1, 5, 9, 10]",14,"[1, 4, 5, 6, 7, 11, 13, 14]",7,3.5,3.5,2019-01-09 10:45:25.946004,2019-01-09 10:45:25.946004,2019-01-09 10:45:22.446004,2019-01-09 10:45:40.953999
8,ID_07,9,0.0,"[13, 9, 5, 6, 10, 11, 11, 15, 16, 12, 8, 4, 3, 7]",14,"[1, 3, 4, 5, 8, 9, 12, 13, 14]",8,4.0,4.0,2019-01-09 10:46:51.413997,2019-01-09 10:46:51.413997,2019-01-09 10:46:47.413997,2019-01-09 10:47:06.420001
9,ID_07,1,0.25,"[13, 9, 5, 1, 2, 3, 7, 11, 12, 8, 4]",11,"[1, 4, 6, 8, 9, 11]",5,1.875,2.0,2019-01-09 10:48:18.758001,2019-01-09 10:48:18.513002,2019-01-09 10:48:16.638002,2019-01-09 10:48:33.765001
10,ID_07,2,0.25,"[13, 14, 10, 11, 12, 8, 4, 3, 2]",9,"[1, 2, 3, 5, 7, 9]",5,1.875,2.0,2019-01-09 10:49:43.599997,2019-01-09 10:49:43.354998,2019-01-09 10:49:41.479998,2019-01-09 10:49:58.608003
11,ID_07,3,0.25,"[13, 9, 5, 6, 10, 14, 15, 16, 12, 8, 4]",11,"[1, 3, 4, 6, 8, 11]",5,1.875,2.0,2019-01-09 10:51:09.815995,2019-01-09 10:51:09.815995,2019-01-09 10:51:07.940995,2019-01-09 10:51:24.823005
12,ID_07,4,0.25,"[13, 14, 15, 11, 10, 9, 5, 6, 7, 8, 4, 3, 2, 1]",14,"[1, 3, 4, 6, 7, 10, 11, 14]",7,2.625,2.75,2019-01-09 10:52:35.909996,2019-01-09 10:52:35.664996,2019-01-09 10:52:33.039996,2019-01-09 10:52:50.918002
13,ID_07,5,0.25,"[13, 9, 10, 11, 15, 16, 12, 8, 4, 3, 2, 1, 5]",13,"[1, 2, 4, 5, 6, 9, 12, 13]",7,2.625,2.75,2019-01-09 10:54:00.876997,2019-01-09 10:54:00.876997,2019-01-09 10:53:58.251997,2019-01-09 10:54:15.883996
14,ID_07,6,0.25,"[13, 9, 5, 1, 2, 6, 10, 14, 15, 16, 12, 8, 4, 3, 7, 11]",16,"[1, 4, 5, 8, 10, 13, 14, 16]",7,2.625,2.75,2019-01-09 10:55:23.099001,2019-01-09 10:55:23.099001,2019-01-09 10:55:20.474001,2019-01-09 10:55:38.106000
15,ID_07,7,0.25,"[13, 9, 10, 14, 15, 16, 12, 8, 4, 3, 7, 6, 5, 1]",14,"[1, 2, 3, 4, 6, 9, 10, 11, 13, 14]",9,3.375,3.5,2019-01-09 10:56:45.329001,2019-01-09 10:56:45.329001,2019-01-09 10:56:41.954001,2019-01-09 10:57:00.336001
16,ID_07,8,0.25,"[13, 14, 15, 16, 12, 11, 7, 8, 3, 2, 1, 5, 9, 10]",14,"[1, 4, 5, 6, 7, 11, 13, 14]",7,2.625,2.75,2019-01-09 10:58:08.056998,2019-01-09 10:58:08.056998,2019-01-09 10:58:05.431998,2019-01-09 10:58:23.063997
17,ID_07,9,0.25,"[13, 9, 5, 6, 10, 11, 11, 15, 16, 12, 8, 4, 3, 7]",14,"[1, 3, 4, 5, 8, 9, 12, 13, 14]",8,3.0,3.125,2019-01-09 10:59:32.531001,2019-01-09 10:59:32.531001,2019-01-09 10:59:29.531001,2019-01-09 10:59:47.538001
18,ID_07,1,0.5,"[13, 9, 5, 1, 2, 3, 7, 11, 12, 8, 4]",11,"[1, 4, 6, 8, 9, 11]",5,1.25,1.5,2019-01-09 11:00:58.254998,2019-01-09 11:00:58.254998,2019-01-09 11:00:57.004998,2019-01-09 11:01:13.261998
19,ID_07,2,0.5,"[13, 14, 10, 11, 12, 8, 4, 3, 2]",9,"[1, 2, 3, 5, 7, 9]",5,1.25,1.5,2019-01-09 11:02:23.102003,2019-01-09 11:02:22.855998,2019-01-09 11:02:21.605998,2019-01-09 11:02:38.109003
20,ID_07,3,0.5,"[13, 9, 5, 6, 10, 14, 15, 16, 12, 8, 4]",11,"[1, 3, 4, 6, 8, 11]",5,1.25,1.5,2019-01-09 11:03:48.832005,2019-01-09 11:03:48.832005,2019-01-09 11:03:47.582005,2019-01-09 11:04:03.839005
21,ID_07,4,0.5,"[13, 14, 15, 11, 10, 9, 5, 6, 7, 8, 4, 3, 2, 1]",14,"[1, 3, 4, 6, 7, 10, 11, 14]",7,1.75,2.0,2019-01-09 11:05:16.054002,2019-01-09 11:05:16.054002,2019-01-09 11:05:14.304002,2019-01-09 11:05:31.061002
22,ID_07,5,0.5,"[13, 9, 10, 11, 15, 16, 12, 8, 4, 3, 2, 1, 5]",13,"[1, 2, 4, 5, 6, 9, 12, 13]",7,1.75,2.0,2019-01-09 11:06:39.780997,2019-01-09 11:06:39.780997,2019-01-09 11:06:38.030997,2019-01-09 11:06:54.787997
23,ID_07,6,0.5,"[13, 9, 5, 1, 2, 6, 10, 14, 15, 16, 12, 8, 4, 3, 7, 11]",16,"[1, 4, 5, 8, 10, 13, 14, 16]",7,1.75,2.0,2019-01-09 11:08:05.144002,2019-01-09 11:08:04.897997,2019-01-09 11:08:03.147997,2019-01-09 11:08:20.151002
24,ID_07,7,0.5,"[13, 9, 10, 14, 15, 16, 12, 8, 4, 3, 7, 6, 5, 1]",14,"[1, 2, 3, 4, 6, 9, 10, 11, 13, 14]",9,2.25,2.5,2019-01-09 11:09:33.010001,2019-01-09 11:09:32.763996,2019-01-09 11:09:30.513996,2019-01-09 11:09:48.017001
25,ID_07,8,0.5,"[13, 14, 15, 16, 12, 11, 7, 8, 3, 2, 1, 5, 9, 10]",14,"[1, 4, 5, 6, 7, 11, 13, 14]",7,1.75,2.0,2019-01-09 11:11:00.747999,2019-01-09 11:11:00.747999,2019-01-09 11:10:58.997999,2019-01-09 11:11:15.754002
26,ID_07,9,0.5,"[13, 9, 5, 6, 10, 11, 11, 15, 16, 12, 8, 4, 3, 7]",14,"[1, 3, 4, 5, 8, 9, 12, 13, 14]",8,2.0,2.25,2019-01-09 11:12:29.101000,2019-01-09 11:12:28.856000,2019-01-09 11:12:26.856000,2019-01-09 11:12:44.107003
27,ID_07,1,0.0,"[13, 9, 5, 1, 2, 3, 7, 11, 12, 8, 4]",11,"[1, 4, 6, 8, 9, 11]",5,2.5,2.5,2019-01-09 10:35:43.059998,2019-01-09 10:35:43.059998,2019-01-09 10:35:40.559998,2019-01-09 10:35:58.073002
28,ID_07,2,0.0,"[13, 14, 10, 11, 12, 8, 4, 3, 2]",9,"[1, 2, 3, 5, 7, 9]",5,2.5,2.5,2019-01-09 10:37:10.350995,2019-01-09 10:37:10.105995,2019-01-09 10:37:07.605995,2019-01-09 10:37:25.363004
29,ID_07,3,0.0,"[13, 9, 5, 6, 10, 14, 15, 16, 12, 8, 4]",11,"[1, 3, 4, 6, 8, 11]",5,2.5,2.5,2019-01-09 10:38:40.470995,2019-01-09 10:38:40.470995,2019-01-09 10:38:37.970995,2019-01-09 10:38:55.476999
30,ID_07,4,0.0,"[13, 14, 15, 11, 10, 9, 5, 6, 7, 8, 4, 3, 2, 1]",14,"[1, 3, 4, 6, 7, 10, 11, 14]",7,3.5,3.5,2019-01-09 10:40:10.459996,2019-01-09 10:40:10.459996,2019-01-09 10:40:06.959996,2019-01-09 10:40:25.466996
31,ID_07,5,0.0,"[13, 9, 10, 11, 15, 16, 12, 8, 4, 3, 2, 1, 5]",13,"[1, 2, 4, 5, 6, 9, 12, 13]",7,3.5,3.5,2019-01-09 10:41:36.460002,2019-01-09 10:41:36.460002,2019-01-09 10:41:32.960002,2019-01-09 10:41:51.467002
32,ID_07,6,0.0,"[13, 9, 5, 1, 2, 6, 10, 14, 15, 16, 12, 8, 4, 3, 7, 11]",16,"[1, 4, 5, 8, 10, 13, 14, 16]",7,3.5,3.5,2019-01-09 10:43:01.924003,2019-01-09 10:43:01.924003,2019-01-09 10:42:58.424003,2019-01-09 10:43:16.929996
33,ID_07,7,0.0,"[13, 9, 10, 14, 15, 16, 12, 8, 4, 3, 7, 6, 5, 1]",14,"[1, 2, 3, 4, 6, 9, 10, 11, 13, 14]",9,4.5,4.5,2019-01-09 10:44:28.889001,2019-01-09 10:44:28.642995,2019-01-09 10:44:24.142995,2019-01-09 10:44:43.895005
34,ID_07,8,0.0,"[13, 14, 15, 16, 12, 11, 7, 8, 3, 2, 1, 5, 9, 10]",14,"[1, 4, 5, 6, 7, 11, 13, 14]",7,3.5,3.5,2019-01-09 10:45:53.851002,2019-01-09 10:45:53.851002,2019-01-09 10:45:50.351002,2019-01-09 10:46:08.858002
35,ID_07,9,0.0,"[13, 9, 5, 6, 10, 11, 11, 15, 16, 12, 8, 4, 3, 7]",14,"[1, 3, 4, 5, 8, 9, 12, 13, 14]",8,4.0,4.0,2019-01-09 10:47:21.068000,2019-01-09 10:47:21.068000,2019-01-09 10:47:17.068000,2019-01-09 10:47:36.075000
36,ID_07,1,0.25,"[13, 9, 5, 1, 2, 3, 7, 11, 12, 8, 4]",11,"[1, 4, 6, 8, 9, 11]",5,1.875,2.0,2019-01-09 10:48:46.786998,2019-01-09 10:48:46.541003,2019-01-09 10:48:44.666003,2019-01-09 10:49:01.793998
37,ID_07,2,0.25,"[13, 14, 10, 11, 12, 8, 4, 3, 2]",9,"[1, 2, 3, 5, 7, 9]",5,1.875,2.0,2019-01-09 10:50:12.378005,2019-01-09 10:50:12.134001,2019-01-09 10:50:10.259001,2019-01-09 10:50:27.385004
38,ID_07,3,0.25,"[13, 9, 5, 6, 10, 14, 15, 16, 12, 8, 4]",11,"[1, 3, 4, 6, 8, 11]",5,1.875,2.0,2019-01-09 10:51:38.470004,2019-01-09 10:51:38.470004,2019-01-09 10:51:36.595004,2019-01-09 10:51:53.477004
