,Acuracia,Especificidade,Similaridade,grupo
0,0.8125,0.6,0.8074061938731719,CV
1,0.5625,0.5714285714285714,0.8968312104826046,CV
2,0.75,0.8,0.7936757901325451,CV
3,0.6875,0.0,0.8682431421244593,CV
4,0.5,0.6666666666666667,0.8133194907106234,CV
5,0.625,1.0,0.9259416862330891,CV
6,0.6875,0.5,0.8681842899711196,CV
7,0.75,0.0,0.8799989649251616,CV
8,0.8125,0.0,0.7280109889280518,CV
9,0.875,1.0,0.7809475220897141,CV
10,0.6875,0.5714285714285714,0.8368873695100211,CV
11,0.875,0.6,0.731310340973526,CV
12,0.6666666666666666,0.8636363636363636,0.7228936649578003,CV
13,0.25,1.0,0.4390570399587614,CV
14,0.75,1.0,0.7513829479387685,CV
15,0.75,0.0,0.8431214694362388,CV
16,0.375,0.5,0.8890257147018888,CV
17,0.6875,0.6666666666666667,0.742076792590696,CV
18,0.6875,0.6,0.8161607813737631,CV
19,0.75,0.5714285714285714,0.8508319756478696,CV
20,0.625,0.1999999999999999,0.9008888496504218,CV
21,0.5625,1.0,0.6582805886043833,CV
22,0.875,0.3333333333333333,0.710957872678362,CV
23,0.75,1.0,0.7889818763544607,CV
24,0.3125,1.0,0.6922186552431729,CV
25,0.8125,0.0,0.8192334073269844,CV
26,0.5,0.3333333333333333,0.7137742529753551,CV
27,0.8125,0.8,0.8045994279894549,CV
28,0.625,0.4285714285714286,0.7610917498101478,CV
29,0.5625,0.4,0.8559575436801258,CV
30,0.6875,0.0,0.8682431421244593,CV
31,0.3125,0.3333333333333333,0.6692445047241755,CV
32,0.8125,1.0,0.8987081072262336,CV
33,0.8125,0.5,0.8285522649991612,CV
34,0.75,1.0,0.871848576319297,CV
35,0.8125,0.3333333333333333,0.7194181676883064,CV
36,0.6875,0.6,0.7931747686306172,CV
37,0.5625,0.4285714285714286,0.8265581531669757,CV
38,0.875,0.8,0.7140627569864099,CV
39,0.6875,0.0,0.8527388003008082,CV
40,0.25,1.0,0.7320024047834479,CV
41,0.9375,1.0,0.850874720887558,CV
42,0.6875,0.5,0.8042853971072706,CV
43,0.625,0.0,0.8958280175293668,CV
44,0.625,0.3333333333333333,0.7937253933193772,CV
45,0.8125,1.0,0.6752813502243227,CV
46,0.75,0.7142857142857143,0.8947368421052632,CV
47,0.875,1.0,0.7839294959021853,CV
48,0.8125,0.5,0.8724024145144709,CV
49,0.9375,1.0,0.8984591897591402,CV
50,0.625,1.0,0.7126524696463825,CV
51,0.75,0.5,0.9043301987499852,CV
52,0.5625,0.5,0.7619119011588126,CV
53,0.5625,1.0,0.6111919138499425,CV
54,0.5,0.1999999999999999,0.8375,CV
55,0.6875,0.4285714285714286,0.8521955379361243,CV
56,0.5,0.0,0.8401388774085707,CV
