Complexidade,Overlap,grupo
4,0.0,CV
4,0.0,CV
4,0.0,CV
6,0.0,CV
6,0.0,CV
6,0.0,CV
8,0.0,CV
8,0.0,CV
8,0.0,CV
4,0.25,CV
4,0.25,CV
4,0.25,CV
6,0.25,CV
6,0.25,CV
6,0.25,CV
8,0.25,CV
8,0.25,CV
8,0.25,CV
4,0.5,CV
4,0.5,CV
4,0.5,CV
6,0.5,CV
6,0.5,CV
6,0.5,CV
8,0.5,CV
8,0.5,CV
8,0.5,CV
4,0.0,CV
4,0.0,CV
4,0.0,CV
6,0.0,CV
6,0.0,CV
6,0.0,CV
8,0.0,CV
8,0.0,CV
8,0.0,CV
4,0.25,CV
4,0.25,CV
4,0.25,CV
6,0.25,CV
6,0.25,CV
6,0.25,CV
8,0.25,CV
8,0.25,CV
8,0.25,CV
4,0.5,CV
4,0.5,CV
4,0.5,CV
6,0.5,CV
6,0.5,CV
6,0.5,CV
8,0.5,CV
8,0.5,CV
8,0.5,CV
4,0.0,CV
4,0.0,CV
4,0.0,CV
6,0.0,CV
6,0.0,CV
6,0.0,CV
8,0.0,CV
8,0.0,CV
8,0.0,CV
4,0.25,CV
4,0.25,CV
4,0.25,CV
6,0.25,CV
6,0.25,CV
6,0.25,CV
8,0.25,CV
8,0.25,CV
8,0.25,CV
4,0.5,CV
4,0.5,CV
4,0.5,CV
6,0.5,CV
6,0.5,CV
6,0.5,CV
8,0.5,CV
8,0.5,CV
8,0.5,CV
4,0.0,CV
4,0.0,CV
4,0.0,CV
6,0.0,CV
6,0.0,CV
6,0.0,CV
8,0.0,CV
8,0.0,CV
8,0.0,CV
4,0.25,CV
4,0.25,CV
4,0.25,CV
6,0.25,CV
6,0.25,CV
6,0.25,CV
8,0.25,CV
8,0.25,CV
8,0.25,CV
4,0.5,CV
4,0.5,CV
4,0.5,CV
6,0.5,CV
6,0.5,CV
6,0.5,CV
8,0.5,CV
8,0.5,CV
8,0.5,CV
4,0.0,CV
4,0.0,CV
4,0.0,CV
6,0.0,CV
6,0.0,CV
6,0.0,CV
8,0.0,CV
8,0.0,CV
8,0.0,CV
4,0.25,CV
4,0.25,CV
4,0.25,CV
6,0.25,CV
6,0.25,CV
6,0.25,CV
8,0.25,CV
8,0.25,CV
8,0.25,CV
4,0.5,CV
4,0.5,CV
4,0.5,CV
6,0.5,CV
6,0.5,CV
6,0.5,CV
8,0.5,CV
8,0.5,CV
8,0.5,CV
4,0.0,CV
4,0.0,CV
4,0.0,CV
6,0.0,CV
6,0.0,CV
6,0.0,CV
8,0.0,CV
8,0.0,CV
8,0.0,CV
4,0.25,CV
4,0.25,CV
4,0.25,CV
6,0.25,CV
6,0.25,CV
6,0.25,CV
8,0.25,CV
8,0.25,CV
8,0.25,CV
4,0.5,CV
4,0.5,CV
4,0.5,CV
6,0.5,CV
6,0.5,CV
6,0.5,CV
8,0.5,CV
8,0.5,CV
8,0.5,CV
4,0.0,CV
4,0.0,CV
4,0.0,CV
