Complexidade,grupo
4,CF
4,CF
4,CF
6,CF
6,CF
6,CF
8,CF
8,CF
8,CF
4,CF
4,CF
4,CF
6,CF
6,CF
6,CF
8,CF
8,CF
8,CF
4,CF
4,CF
4,CF
6,CF
6,CF
6,CF
8,CF
8,CF
8,CF
4,CF
4,CF
4,CF
6,CF
6,CF
6,CF
8,CF
8,CF
8,CF
4,CF
4,CF
4,CF
6,CF
6,CF
6,CF
8,CF
8,CF
8,CF
4,CF
4,CF
4,CF
6,CF
6,CF
6,CF
8,CF
8,CF
8,CF
4,CF
4,CF
4,CF
6,CF
6,CF
6,CF
8,CF
8,CF
8,CF
4,CF
4,CF
4,CF
6,CF
6,CF
6,CF
8,CF
8,CF
8,CF
4,CF
4,CF
4,CF
6,CF
6,CF
6,CF
8,CF
8,CF
8,CF
4,CF
4,CF
4,CF
6,CF
6,CF
6,CF
8,CF
8,CF
8,CF
4,CF
4,CF
4,CF
6,CF
6,CF
6,CF
8,CF
8,CF
8,CF
4,CF
4,CF
4,CF
6,CF
6,CF
6,CF
8,CF
8,CF
8,CF
4,CF
4,CF
4,CF
6,CF
6,CF
6,CF
8,CF
8,CF
8,CF
4,CF
4,CF
4,CF
6,CF
6,CF
6,CF
8,CF
8,CF
8,CF
4,CF
4,CF
4,CF
6,CF
6,CF
6,CF
8,CF
8,CF
8,CF
4,SF
4,SF
4,SF
6,SF
6,SF
6,SF
8,SF
8,SF
8,SF
4,SF
4,SF
4,SF
6,SF
6,SF
6,SF
8,SF
8,SF
8,SF
4,SF
4,SF
4,SF
6,SF
6,SF
6,SF
8,SF
8,SF
8,SF
4,SF
4,SF
4,SF
6,SF
6,SF
6,SF
8,SF
8,SF
8,SF
4,SF
4,SF
4,SF
6,SF
6,SF
6,SF
8,SF
8,SF
8,SF
4,SF
4,SF
4,SF
6,SF
6,SF
6,SF
8,SF
8,SF
8,SF
4,SF
4,SF
4,SF
6,SF
6,SF
6,SF
8,SF
8,SF
8,SF
4,SF
4,SF
4,SF
6,SF
6,SF
6,SF
8,SF
8,SF
8,SF
4,SF
4,SF
4,SF
6,SF
6,SF
6,SF
8,SF
8,SF
8,SF
4,SF
4,SF
4,SF
6,SF
6,SF
6,SF
8,SF
8,SF
8,SF
4,SF
4,SF
4,SF
6,SF
6,SF
6,SF
8,SF
8,SF
8,SF
4,SF
4,SF
4,SF
6,SF
6,SF
6,SF
8,SF
8,SF
8,SF
4,SF
4,SF
4,SF
6,SF
6,SF
6,SF
8,SF
8,SF
8,SF
4,SF
4,SF
4,SF
6,SF
6,SF
6,SF
8,SF
8,SF
8,SF
4,SF
4,SF
4,SF
6,SF
6,SF
6,SF
8,SF
8,SF
8,SF
