Trajectory,Repetition,Y_Position,X_Position
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2133,755
1,1,2132,747
1,1,2135,746
1,1,2139,744
1,1,2145,743
1,1,2151,743
1,1,2162,740
1,1,2187,721
1,1,2232,678
1,1,2284,630
1,1,2284,630
1,1,2418,521
1,1,2431,514
1,1,2438,511
1,1,2440,510
1,1,2440,513
1,1,2442,514
1,1,2448,512
1,1,2457,508
1,1,2466,507
1,1,2474,506
1,1,2481,505
1,1,2485,502
1,1,2488,499
1,1,2489,496
1,1,2489,492
1,1,2489,492
1,1,2489,492
1,1,2489,492
1,1,2489,492
1,1,2489,492
1,1,2489,492
1,1,2489,492
1,1,2489,492
1,1,2489,492
1,1,2489,492
1,1,2489,492
1,1,2489,492
1,1,2489,492
1,1,2489,492
1,1,2489,492
1,1,2489,492
1,1,2489,492
1,1,2489,492
1,1,2489,492
1,1,2489,492
1,1,2489,492
1,1,2489,492
1,1,2433,477
1,1,2430,476
1,1,2427,474
1,1,2420,472
1,1,2414,470
1,1,2405,468
1,1,2397,466
1,1,2390,464
1,1,2388,463
1,1,2387,463
1,1,2387,463
1,1,2387,463
1,1,2387,463
1,1,2387,463
1,1,2387,463
1,1,2385,462
1,1,2378,461
1,1,2373,459
1,1,2365,458
1,1,2356,457
1,1,2347,456
1,1,2338,456
1,1,2330,456
1,1,2324,456
1,1,2317,456
1,1,2313,456
1,1,2312,456
1,1,2311,456
1,1,2310,456
1,1,2310,456
1,1,2310,456
1,1,2310,456
1,1,2310,456
1,1,2310,457
1,1,2308,463
1,1,2306,468
1,1,2306,470
1,1,2305,476
1,1,2303,481
1,1,2301,486
1,1,2300,491
1,1,2299,497
1,1,2298,499
1,1,2298,499
1,1,2298,499
1,1,2298,499
1,1,2298,499
1,1,2298,499
1,1,2298,499
1,1,2298,499
1,1,2298,499
1,1,2298,499
1,1,2298,499
1,1,2298,499
1,1,2298,499
1,1,2298,499
1,1,2298,499
1,1,2298,499
1,1,2298,499
1,1,2298,499
1,1,2298,499
1,1,2298,499
1,1,2298,499
1,1,2298,499
1,1,2298,499
1,1,2299,495
1,1,2299,494
1,1,2299,494
1,1,2299,493
1,1,2299,492
1,1,2299,490
1,1,2299,489
1,1,2300,489
1,1,2300,489
1,1,2300,487
1,1,2303,483
1,1,2303,483
1,1,2303,483
1,1,2303,483
1,1,2303,482
1,1,2304,479
1,1,2305,478
1,1,2305,478
1,1,2305,477
1,1,2305,477
1,1,2306,475
1,1,2306,474
1,1,2306,474
1,1,2306,474
1,1,2306,474
1,1,2306,474
1,1,2300,474
1,1,2287,472
1,1,2283,471
1,1,2283,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,1,2282,471
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2127,751
1,2,2136,753
1,2,2144,753
1,2,2148,755
1,2,2158,757
1,2,2158,757
1,2,2158,757
1,2,2158,757
1,2,2158,757
1,2,2158,757
1,2,2158,757
1,2,2158,757
1,2,2158,757
1,2,2422,758
1,2,2473,758
1,2,2516,755
1,2,2518,750
1,2,2518,746
1,2,2514,743
1,2,2507,742
1,2,2502,743
1,2,2498,743
1,2,2495,743
1,2,2491,740
1,2,2491,740
1,2,2491,740
1,2,2491,740
1,2,2491,740
1,2,2491,740
1,2,2491,740
1,2,2491,740
1,2,2491,740
1,2,2491,740
1,2,2491,740
1,2,2491,740
1,2,2491,740
1,2,2491,740
1,2,2491,740
1,2,2491,740
1,2,2491,740
1,2,2491,740
1,2,2491,740
1,2,2491,740
1,2,2491,740
1,2,2491,740
1,2,2491,740
1,2,2491,740
1,2,2491,740
1,2,2491,740
1,2,2491,740
1,2,2491,740
1,2,2432,735
1,2,2421,734
1,2,2409,733
1,2,2399,732
1,2,2389,731
1,2,2380,729
1,2,2374,728
1,2,2369,726
1,2,2367,726
1,2,2367,726
1,2,2366,725
1,2,2362,724
1,2,2353,721
1,2,2344,719
1,2,2336,718
1,2,2328,716
1,2,2321,714
1,2,2316,712
1,2,2311,711
1,2,2308,710
1,2,2304,709
1,2,2301,708
1,2,2298,708
1,2,2298,708
1,2,2298,708
1,2,2298,708
1,2,2298,708
1,2,2298,707
1,2,2298,707
1,2,2298,707
1,2,2299,705
1,2,2301,701
1,2,2303,696
1,2,2305,693
1,2,2306,691
1,2,2307,687
1,2,2309,684
1,2,2311,680
1,2,2313,677
1,2,2313,676
1,2,2313,674
1,2,2313,671
1,2,2314,663
1,2,2315,658
1,2,2315,653
1,2,2316,650
1,2,2316,649
1,2,2316,649
1,2,2316,649
1,2,2316,649
1,2,2316,649
1,2,2316,649
1,2,2316,649
1,2,2320,649
1,2,2322,649
1,2,2325,648
1,2,2328,648
1,2,2334,648
1,2,2342,649
1,2,2347,650
1,2,2356,650
1,2,2363,650
1,2,2374,651
1,2,2386,651
1,2,2396,651
1,2,2406,652
1,2,2417,653
1,2,2427,653
1,2,2439,653
1,2,2451,653
1,2,2456,653
1,2,2456,653
1,2,2456,653
1,2,2456,653
1,2,2456,653
1,2,2456,653
1,2,2456,653
1,2,2456,653
1,2,2456,653
1,2,2456,653
1,2,2456,653
1,2,2456,653
1,2,2456,653
1,2,2456,653
1,2,2456,653
1,2,2456,653
1,2,2456,653
1,2,2456,653
1,2,2456,653
1,2,2456,653
1,2,2456,653
1,2,2456,653
1,2,2456,653
1,2,2456,653
1,2,2456,653
1,2,2456,653
1,2,2456,653
1,2,2452,653
1,2,2446,651
1,2,2437,650
1,2,2430,649
1,2,2421,647
1,2,2414,645
1,2,2411,645
1,2,2406,644
1,2,2398,642
1,2,2392,641
1,2,2384,639
1,2,2377,638
1,2,2371,638
1,2,2368,637
1,2,2362,637
1,2,2355,637
1,2,2349,637
1,2,2343,637
1,2,2332,638
1,2,2325,638
1,2,2318,638
1,2,2310,637
1,2,2299,637
1,2,2289,636
1,2,2283,635
1,2,2278,635
1,2,2269,635
1,2,2255,634
1,2,2245,632
1,2,2239,630
1,2,2239,630
1,2,2239,630
1,2,2239,630
1,2,2235,630
1,2,2224,630
1,2,2218,630
1,2,2213,629
1,2,2209,629
1,2,2207,629
1,2,2207,629
1,2,2207,629
1,2,2207,629
1,2,2207,629
1,2,2207,629
1,2,2207,629
1,2,2206,629
1,2,2205,629
1,2,2205,629
1,2,2204,629
1,2,2204,629
1,2,2203,629
1,2,2203,629
1,2,2203,630
1,2,2203,630
1,2,2203,630
1,2,2202,630
1,2,2202,630
1,2,2202,630
1,2,2202,630
1,2,2202,630
1,2,2202,630
1,2,2202,630
1,2,2202,630
1,2,2202,630
1,2,2202,630
1,2,2202,630
1,2,2202,630
1,2,2202,630
1,2,2202,630
1,2,2202,630
1,2,2202,630
1,2,2202,630
1,2,2202,630
1,2,2202,630
1,2,2202,630
1,2,2202,630
1,2,2202,630
1,2,2202,630
1,2,2202,630
1,2,2202,630
1,2,2202,630
1,2,2202,630
1,2,2202,630
1,2,2202,630
1,2,2202,630
1,2,2202,630
1,2,2202,630
1,2,2202,630
1,2,2202,630
1,2,2202,630
1,2,2202,630
1,2,2202,630
1,2,2202,630
1,2,2202,630
1,2,2203,630
1,2,2203,630
1,2,2203,630
1,2,2203,630
1,2,2203,630
1,2,2203,630
1,2,2203,630
1,2,2203,630
1,2,2203,630
1,2,2203,630
1,2,2203,630
1,2,2203,630
1,2,2203,630
1,2,2203,630
1,2,2203,630
1,2,2203,630
1,2,2203,630
1,2,2203,630
1,2,2203,630
1,2,2203,630
1,2,2203,630
1,2,2203,630
1,2,2203,630
1,2,2203,630
1,2,2203,630
1,2,2203,630
1,2,2203,630
1,2,2203,630
1,2,2203,630
1,2,2203,630
1,2,2203,630
1,2,2203,630
1,2,2203,630
1,2,2203,630
1,2,2203,630
1,2,2203,630
1,2,2203,630
1,2,2203,630
1,2,2203,630
1,2,2203,630
1,2,2203,630
1,2,2203,630
1,2,2203,630
1,2,2203,630
1,2,2203,630
1,2,2203,630
1,2,2203,630
1,3,2142,754
1,3,2142,754
1,3,2142,754
1,3,2142,754
1,3,2142,754
1,3,2142,754
1,3,2142,754
1,3,2142,754
1,3,2142,754
1,3,2142,754
1,3,2142,754
1,3,2142,754
1,3,2142,754
1,3,2142,754
1,3,2142,754
1,3,2142,754
1,3,2142,754
1,3,2142,754
1,3,2142,754
1,3,2142,754
1,3,2142,754
1,3,2142,754
1,3,2142,754
1,3,2142,754
1,3,2142,754
1,3,2142,754
1,3,2142,754
1,3,2142,754
