grupo,banda,canal,psd_mean,psd_std,psd_db_mean,psd_db_std
all,total,C1,21.047236277579895,21.125566669275088,11.613655265064274,3.9209530682131617
all,total,C2,18.996510589981547,21.387064420354346,10.636070993601006,4.410708939205379
all,total,C3,17.196779111392406,13.596597003332125,10.770802617813498,4.243387233832649
all,total,C4,58.14875341219453,121.0242829496563,12.226950158842257,6.801416073464968
all,total,CP1,77.75850424099298,180.51704266226432,12.417338196513121,6.845150091864819
all,total,CP3,49.58699647118061,76.12899586412544,13.40686288889115,6.101762545328279
all,total,CPZ,98.34598000545691,242.64073962516102,11.887079134653245,7.629212301067258
all,total,CZ,57.748042341496756,122.59044543896191,12.360804204861756,6.11615693599564
all,total,F3,75.14461705239023,138.15779216779129,14.621062494932975,5.966126440367203
all,total,F4,19.819569572136867,14.651359243390969,11.746754527385377,3.707472356916555
all,total,F7,27.12884706589758,17.003227473694817,13.487624697184316,3.0078816443778766
all,total,F8,33.70282412886069,20.5027030697412,14.476385298035146,3.0038095720250824
all,total,FC1,14.4028060539307,10.037288609812936,10.545330479929595,3.402830079473438
all,total,FC2,32.06685898831603,16.803257707323006,14.398028193915904,2.825004638236729
all,total,FC3,19.65922293290261,13.445436741419114,11.658464574828368,3.96592537913433
all,total,FC4,144.161687104519,369.8822625009712,12.930121586639938,7.501773604905352
all,total,FCZ,14.41747018332642,10.907923811948455,10.579560510767442,3.104743630252594
all,total,FP1,67.09481197667134,107.21436567086437,15.036289642543572,5.438828040268142
all,total,FP2,30.279693133815304,23.912869847400078,13.303664637536032,4.149771609764919
all,total,FZ,17.154352120442738,11.592039619323147,11.349418939929304,3.4158861962627
all,total,O1,31.70612249640175,23.037340713247886,13.800282796803234,3.7029762802357333
all,total,O2,52.48963893413912,68.37679008161578,14.06403180443431,5.815476304974888
all,total,OZ,107.36336940755996,200.51107423860137,15.953630807005911,5.932657353735115
all,total,P3,22.73842648512464,16.784173350673125,12.077401729668782,4.332968539270874
all,total,P4,106.89224065014795,178.58347524344896,14.240788848832153,7.591486314849865
all,total,P7,14.930473634315671,11.077919887105597,10.648417546663671,3.387954661235551
all,total,P8,30.5887898245658,18.52188367840333,14.205221851814557,2.5212239024632783
all,total,PZ,33.07522806769064,19.572295476816084,14.610953102003535,2.3619344040889847
all,total,T7,512.3325915478915,1341.5839673610496,16.969589770479992,8.351977535524854
all,total,T8,24.556252257442235,24.795489238935144,12.311683354669242,4.111958203578276
all,delta,C1,6.985717729889984,10.747536735240582,4.711679600011988,5.738442935033684
all,delta,C2,4.809221834705113,6.567830585277744,3.0680050436494035,6.039495488989491
all,delta,C3,4.312040281945428,5.838210291640109,2.4414592130728003,6.270091978087473
all,delta,C4,17.820021640545747,41.187785534604934,4.421847802209026,8.455368170581098
all,delta,CP1,30.444287438797346,76.25255787873667,5.214859273773729,8.825326936478044
all,delta,CP3,13.62392213439989,23.5517844524493,5.942428924496118,7.604147571019316
