grupo,banda,canal,psd_mean,psd_std,psd_db_mean,psd_db_std
all,total,C1,1.9238143588674879,1.3018049312996751,1.665669098376141,3.438007320346324
all,total,C2,2.1207696240533416,1.8995445356347063,1.937223512723441,3.4715534084735724
all,total,C3,2.036900095805391,1.6870235186368026,1.4995996048460856,3.8191578566051567
all,total,C4,2.2535667939323685,2.9964109677830546,0.44010384725013135,5.367729753758727
all,total,CP1,2.0669587555563496,1.776775803896271,0.13388488293775247,6.932591701978744
all,total,CP3,1.7921674604990132,1.7746478874020861,0.632511226492428,4.043491677756951
all,total,CPZ,2.9405770712877253,2.3684555534247256,2.9503616235781873,4.188743288200534
all,total,CZ,1.7889815704308427,1.9782337555200868,1.0715758379729718,3.4344979325434877
all,total,F3,2.3189669036930702,6.631279450983238,0.27635000446506935,5.194384673035408
all,total,F4,2.4409222268034836,2.9732170923386647,1.8281322306331684,3.8095976832001863
all,total,F7,2.0163399076978146,1.8449283338903562,1.605707145952169,3.463547624133036
all,total,F8,1.4860084685916046,0.9776523814492651,0.8242461179722002,2.8568237575628803
all,total,FC1,2.074629749232235,1.6856125409360139,1.8273370029129918,3.4237053255075125
all,total,FC2,1.5415876601689555,0.576591662227143,1.5705337700270232,1.6655258934949668
all,total,FC3,1.7760289025525386,1.6646990056801203,0.8630628045831631,3.717410499573482
all,total,FC4,1.9399224648410964,1.69003184800859,1.3195564920576164,3.9056637299692616
all,total,FCZ,2.2232781345216317,1.6954232848748894,2.3212489888450474,3.1929357099438156
all,total,FP1,1.2297001158208951,1.4498248734926191,-2.137590395947365,5.434036470372349
all,total,FP2,1.544260456575027,1.5771479850531358,-0.7794396085750493,5.135703267785339
all,total,FZ,1.9137527820678093,1.4428430698004635,1.560190864625832,3.3660269260421916
all,total,O1,4.433506567152252,4.514843115472212,4.735654490402185,3.9611385189300825
all,total,O2,5.879641327048662,6.535053960176301,5.122873852468803,4.9873701927776555
all,total,OZ,3.391107491197832,3.3610483188081894,1.276674917195364,7.3886339145688495
all,total,P3,3.2630044960414657,8.343957581564311,1.9834422425981681,4.599558108274882
all,total,P4,2.8877032605696296,2.653401622861758,0.6413749922849681,7.514511419400782
all,total,P7,2.0289145078732846,1.6087781292724768,1.8755390179650284,3.206303495254261
all,total,P8,1.6549874148370844,0.7866324286832647,1.7719706782520368,1.8883236026597536
all,total,PZ,1.6887544232042986,1.702228250857798,1.564761015541996,2.2085961196844393
all,total,T7,1.8869400753161463,1.6121098916937018,-0.021083852708492074,6.965446834491117
all,total,T8,3.258015344498565,4.604531375253245,2.379607374916259,4.424442210925353
all,delta,C1,3.2724749406290745,3.83621961336183,2.3495730177438983,5.18966541384593
all,delta,C2,3.1113908892460773,4.774143375698844,2.36120883361206,5.002492157104216
all,delta,C3,3.191041242640159,4.319300868903096,1.9802355388329493,5.417915737959433
all,delta,C4,2.346389292294079,2.4158741364887018,1.186841604903232,5.5085215867984925
all,delta,CP1,3.041543443102982,4.283522356137776,0.2500172980876702,8.512348190421228
all,delta,CP3,3.6008016346947764,4.741194737765154,1.7419542573085272,6.164401472533052
all,delta,CPZ,3.5036723107159204,3.7381028693965854,2.6009328642242924,5.463970370938879
all,delta,CZ,3.26516208363094,5.779068200018928,1.8599385422568007,4.838888545061417
all,delta,F3,4.607582555054851,24.441229570363802,0.25310267957375465,6.450549783479835
all,delta,F4,3.036092735788875,4.052142705912026,1.6544212258982096,5.15621038541979
all,delta,F7,1.7564005028249872,1.1074346065833287,1.273673051594458,3.553253792156144
all,delta,F8,1.5574703113972743,1.0969414756368085,0.7221377791692349,3.4562158761354844
all,delta,FC1,3.397899702925502,5.603104187789653,1.7328135587554128,5.346440167597542
all,delta,FC2,2.4674189804334103,2.1119081083257454,2.270619104047123,4.051556339613294
all,delta,FC3,2.4909631883819303,3.3704910047639105,1.1034557791690673,4.912531508972895
all,delta,FC4,2.996783356509072,3.7310326519982997,1.5739597957806708,5.821692111878984
all,delta,FCZ,5.894262674947567,11.911684424414707,3.248910845605297,5.743106917702407
all,delta,FP1,1.4906655158786402,3.0017222305560987,-2.0505688365150387,6.051502281583427
all,delta,FP2,2.114324981394205,3.1173356705406214,-1.114514490734414,6.700481789378452
all,delta,FZ,2.443042054660978,2.572141579825874,1.565306183907828,4.731980270410834
all,delta,O1,5.626151136750079,11.14134950709425,4.363956343866763,4.859391799166357
all,delta,O2,4.855121828445346,6.598219105519935,3.986991010331923,5.112819327158822
all,delta,OZ,4.163584123452448,5.2164868157976985,1.801574664603248,8.19487322066125
all,delta,P3,7.7079410104172945,45.281316066349156,1.9291063759993416,6.20660976250414
all,delta,P4,3.738176457903749,6.065450509621539,0.6414571689275035,7.895398766691018
all,delta,P7,4.161330542728495,7.866986460089856,2.147545716286499,5.549115422082488
all,delta,P8,3.5044104733574764,4.1397539331618205,2.9979020118016755,4.897761243564094
all,delta,PZ,4.215439686249381,14.854774943964621,2.439124313847789,5.142694180175213
all,delta,T7,2.932044956016844,2.430151054735059,0.5782200724249535,9.164770576154872
all,delta,T8,3.345565895298606,3.7598325570157796,2.6550332330265443,4.834909271550128
all,theta,C1,2.113095558219442,2.0323320721026388,1.352290494066204,4.236587906226366
all,theta,C2,2.1603251968433366,2.2003862029534864,1.6657564779877885,4.127857290004541
all,theta,C3,2.0772327289475996,1.7462888638308016,1.5104287422207454,4.039905290789311
all,theta,C4,2.187588304263871,2.4918442375029337,0.7041796464030088,5.1963503619853455
all,theta,CP1,1.7061783793931735,1.4759041203634582,-0.90191897947238,7.510555785057694
all,theta,CP3,1.927939383311992,2.1099698987115185,-0.07568601624188452,5.527537937617102
all,theta,CPZ,2.673194046699503,2.6652749236083992,1.975592880226532,4.717082707287595
all,theta,CZ,1.7720269734597827,2.15076626380422,0.47128821490023676,4.07601275909675
all,theta,F3,2.2228365536407395,4.727536166063543,-0.2918977085187525,6.056251429538787
all,theta,F4,2.0215583827814334,2.259011186139626,1.181940092317439,3.824663073123547
all,theta,F7,1.7250287968895013,1.4637800041556708,1.0752390768940137,3.403725221615612
all,theta,F8,1.3033864790594145,0.762261022796568,0.2043591968801569,3.1655528945496827
all,theta,FC1,2.8452164777775173,2.9893615627109242,2.232456611840882,4.474283967893294
all,theta,FC2,1.9485833901168637,1.1930513328301748,2.053569072120536,2.8004303650976157
all,theta,FC3,1.8229415119580124,1.681545955773501,0.739326166633172,4.203186141069317
all,theta,FC4,1.9413127783325903,2.081461202016849,0.7855788915155235,4.46185473759462
all,theta,FCZ,3.0479511728264876,3.259049119849626,2.9453111371978706,4.029958337382429
all,theta,FP1,0.9420228856712024,1.049246714154575,-2.7457884262965844,4.936614522997502
all,theta,FP2,1.2340940422832931,1.283923991964878,-1.8239454227993197,5.163470496589842
all,theta,FZ,2.052919866891916,2.0643232129194176,1.380635493607547,3.7953172225256036
all,theta,O1,3.2024640217889933,2.8573789246891437,3.4616742586275264,3.883500048241485
all,theta,O2,4.043098463354487,4.7566288141962705,3.3144658810185366,5.151079414644959
all,theta,OZ,2.8526703435941205,3.2444325928413886,0.4303323091200547,7.7591771910409975
all,theta,P3,3.309190444366892,10.419679424126137,1.7652352770548745,4.569655992583373
all,theta,P4,2.688633702742945,2.62417378759283,0.132540266643975,8.064160191031633
all,theta,P7,2.6239143605387856,2.5432537756451445,2.3937463055237416,3.9506914086617875
all,theta,P8,2.235474776306819,1.853278064967563,2.287308045893029,3.2376328765087807
all,theta,PZ,2.212407411012564,3.141770489077939,1.9354906405396801,3.3496871020217176
all,theta,T7,2.1145330036449925,1.8489208491524174,-0.00780704507316392,7.552231860193003
all,theta,T8,3.1310569012044014,4.061438023342041,2.3008193404347157,4.448612178330688
all,alfa,C1,4.330728670968857,4.351630426327897,4.037295138676716,4.654499671768104
