,Complexidade
27,4
28,4
29,4
30,6
31,6
32,6
33,8
34,8
35,8
36,4
37,4
38,4
39,6
40,6
41,6
42,8
43,8
44,8
45,4
46,4
47,4
48,6
49,6
50,6
51,8
52,8
53,8
54,4
55,4
56,4
57,6
58,6
59,6
60,8
61,8
62,8
63,4
64,4
65,4
66,6
67,6
68,6
69,8
70,8
71,8
72,4
73,4
74,4
75,6
76,6
77,6
78,8
79,8
80,8
81,4
82,4
83,4
84,6
85,6
86,6
87,8
88,8
89,8
90,4
91,4
92,4
93,6
94,6
95,6
96,8
97,8
98,8
99,4
100,4
101,4
102,6
103,6
104,6
105,8
106,8
107,8
108,4
109,4
110,4
111,6
112,6
113,6
114,8
115,8
116,8
117,4
118,4
119,4
120,6
121,6
122,6
123,8
124,8
125,8
126,4
127,4
128,4
129,6
130,6
131,6
132,8
133,8
134,8
189,4
190,4
191,4
192,6
193,6
194,6
195,8
196,8
197,8
198,4
199,4
200,4
201,6
202,6
203,6
204,8
205,8
206,8
207,4
208,4
209,4
210,6
211,6
212,6
213,8
214,8
215,8
243,4
244,4
245,4
246,6
247,6
248,6
249,8
250,8
251,8
252,4
253,4
254,4
255,6
256,6
257,6
258,8
259,8
260,8
261,4
262,4
263,4
264,6
265,6
266,6
267,8
268,8
269,8
270,4
271,4
272,4
273,6
274,6
275,6
276,8
277,8
278,8
279,4
280,4
281,4
282,6
283,6
284,6
285,8
286,8
287,8
288,4
289,4
290,4
291,6
292,6
293,6
294,8
295,8
296,8
324,4
325,4
326,4
327,6
328,6
329,6
330,8
331,8
332,8
333,4
334,4
335,4
336,6
337,6
338,6
339,8
340,8
341,8
342,4
343,4
344,4
345,6
346,6
347,6
348,8
349,8
350,8
351,4
352,4
353,4
354,6
355,6
356,6
357,8
358,8
359,8
360,4
361,4
362,4
363,6
364,6
365,6
366,8
367,8
368,8
369,4
370,4
371,4
372,6
373,6
374,6
375,8
376,8
377,8
405,4
406,4
407,4
408,6
409,6
410,6
411,8
412,8
413,8
414,4
415,4
416,4
417,6
418,6
419,6
420,8
421,8
422,8
423,4
424,4
425,4
426,6
427,6
428,6
429,8
430,8
431,8
