,Complexidade
0,4
1,4
2,4
3,6
4,6
5,6
6,8
7,8
8,8
9,4
10,4
11,4
12,6
13,6
14,6
15,8
16,8
17,8
18,4
19,4
20,4
21,6
22,6
23,6
24,8
25,8
26,8
27,4
28,4
29,4
30,6
31,6
32,6
33,8
34,8
35,8
36,4
37,4
38,4
39,6
40,6
41,6
42,8
43,8
44,8
45,4
46,4
47,4
48,6
49,6
50,6
51,8
52,8
53,8
54,4
55,4
56,4
57,6
58,6
59,6
60,8
61,8
62,8
63,4
64,4
65,4
66,6
67,6
68,6
69,8
70,8
71,8
72,4
73,4
74,4
75,6
76,6
77,6
78,8
79,8
80,8
81,4
82,4
83,4
84,6
85,6
86,6
87,8
88,8
89,8
90,4
91,4
92,4
93,6
94,6
95,6
96,8
97,8
98,8
99,4
100,4
101,4
102,6
103,6
104,6
105,8
106,8
107,8
108,4
109,4
110,4
111,6
112,6
113,6
114,8
115,8
116,8
117,4
118,4
119,4
120,6
121,6
122,6
123,8
124,8
125,8
126,4
127,4
128,4
129,6
130,6
131,6
132,8
133,8
134,8
135,4
136,4
137,4
138,6
139,6
140,6
141,8
142,8
143,8
144,4
145,4
146,4
147,6
148,6
149,6
150,8
151,8
152,8
153,4
154,4
155,4
156,6
157,6
158,6
159,8
160,8
161,8
162,4
163,4
164,4
165,6
166,6
167,6
168,8
169,8
170,8
171,4
172,4
173,4
174,6
175,6
176,6
177,8
178,8
179,8
180,4
181,4
182,4
183,6
184,6
185,6
186,8
187,8
188,8
189,4
190,4
191,4
192,6
193,6
194,6
195,8
196,8
197,8
198,4
199,4
200,4
201,6
202,6
203,6
204,8
205,8
206,8
207,4
208,4
209,4
210,6
211,6
212,6
213,8
214,8
215,8
216,4
217,4
218,4
219,6
220,6
221,6
222,8
223,8
224,8
225,4
226,4
227,4
228,6
229,6
230,6
231,8
232,8
233,8
234,4
235,4
236,4
237,6
238,6
239,6
240,8
241,8
242,8
243,4
244,4
245,4
246,6
247,6
248,6
249,8
250,8
251,8
252,4
253,4
254,4
255,6
256,6
257,6
258,8
259,8
260,8
261,4
262,4
263,4
264,6
265,6
266,6
267,8
268,8
269,8
270,4
271,4
272,4
273,6
274,6
275,6
276,8
277,8
278,8
279,4
280,4
281,4
282,6
283,6
284,6
285,8
286,8
287,8
288,4
289,4
290,4
291,6
292,6
293,6
294,8
295,8
296,8
297,4
298,4
299,4
300,6
301,6
302,6
303,8
304,8
305,8
306,4
307,4
308,4
309,6
310,6
311,6
312,8
313,8
314,8
315,4
316,4
317,4
318,6
319,6
320,6
321,8
322,8
323,8
324,4
325,4
326,4
327,6
328,6
329,6
330,8
331,8
332,8
333,4
334,4
335,4
336,6
337,6
338,6
339,8
340,8
341,8
342,4
343,4
344,4
345,6
346,6
347,6
348,8
349,8
350,8
351,4
352,4
353,4
354,6
355,6
356,6
357,8
358,8
359,8
360,4
361,4
362,4
363,6
364,6
365,6
366,8
367,8
368,8
369,4
370,4
371,4
372,6
373,6
374,6
375,8
376,8
377,8
378,4
379,4
380,4
381,6
382,6
383,6
384,8
385,8
386,8
387,4
388,4
389,4
390,6
391,6
392,6
393,8
394,8
395,8
396,4
397,4
398,4
399,6
400,6
401,6
402,8
403,8
404,8
405,4
406,4
407,4
408,6
409,6
410,6
411,8
412,8
413,8
414,4
415,4
416,4
417,6
418,6
419,6
420,8
421,8
422,8
423,4
424,4
425,4
426,6
427,6
428,6
429,8
430,8
431,8
432,4
433,4
434,4
435,6
436,6
437,6
438,8
439,8
440,8
441,4
442,4
443,4
444,6
445,6
446,6
447,8
448,8
449,8
450,4
451,4
452,4
453,6
454,6
455,6
456,8
457,8
458,8
459,4
460,4
461,4
462,6
463,6
464,6
465,8
466,8
467,8
468,4
469,4
470,4
471,6
472,6
473,6
474,8
475,8
476,8
477,4
478,4
479,4
480,6
481,6
482,6
483,8
484,8
485,8
729,4
730,4
731,4
732,6
733,6
734,6
735,8
736,8
737,8
738,4
739,4
740,4
741,6
742,6
743,6
744,8
745,8
746,8
747,4
748,4
749,4
750,6
751,6
752,6
753,8
754,8
755,8
756,4
757,4
758,4
759,6
760,6
761,6
762,8
763,8
764,8
765,4
766,4
767,4
768,6
769,6
770,6
771,8
772,8
773,8
774,4
775,4
776,4
777,6
778,6
779,6
780,8
781,8
782,8
783,4
784,4
785,4
786,6
787,6
788,6
789,8
790,8
791,8
792,4
793,4
794,4
795,6
796,6
797,6
798,8
799,8
800,8
801,4
802,4
803,4
804,6
805,6
806,6
807,8
808,8
809,8
810,4
811,4
812,4
813,6
814,6
815,6
816,8
817,8
818,8
819,4
820,4
821,4
822,6
823,6
824,6
825,8
826,8
827,8
828,4
829,4
830,4
831,6
832,6
833,6
834,8
835,8
836,8
837,4
838,4
839,4
840,6
841,6
842,6
843,8
844,8
845,8
846,4
847,4
848,4
849,6
850,6
851,6
852,8
853,8
854,8
855,4
856,4
857,4
858,6
859,6
860,6
861,8
862,8
863,8
864,4
865,4
866,4
867,6
868,6
869,6
870,8
871,8
872,8
873,4
874,4
875,4
876,6
877,6
878,6
879,8
880,8
881,8
882,4
883,4
884,4
885,6
886,6
887,6
888,8
889,8
890,8
891,4
892,4
893,4
894,6
895,6
896,6
897,8
898,8
899,8
900,4
901,4
902,4
903,6
904,6
905,6
906,8
907,8
908,8
909,4
910,4
911,4
912,6
913,6
914,6
915,8
916,8
917,8
918,4
919,4
920,4
921,6
922,6
923,6
924,8
925,8
926,8
927,4
928,4
929,4
930,6
931,6
932,6
933,8
934,8
935,8
936,4
937,4
938,4
939,6
940,6
941,6
942,8
943,8
944,8
945,4
946,4
947,4
948,6
949,6
950,6
951,8
952,8
953,8
954,4
955,4
956,4
957,6
958,6
959,6
960,8
961,8
962,8
963,4
964,4
965,4
966,6
967,6
968,6
969,8
970,8
971,8
972,4
973,4
974,4
975,6
976,6
977,6
978,8
979,8
980,8
981,4
982,4
983,4
984,6
985,6
986,6
987,8
988,8
989,8
990,4
991,4
992,4
993,6
994,6
995,6
996,8
997,8
998,8
999,4
1000,4
1001,4
1002,6
1003,6
1004,6
1005,8
1006,8
1007,8
1008,4
1009,4
1010,4
1011,6
1012,6
1013,6
1014,8
1015,8
1016,8
1017,4
1018,4
1019,4
1020,6
1021,6
1022,6
1023,8
1024,8
1025,8
1026,4
1027,4
1028,4
1029,6
1030,6
1031,6
1032,8
1033,8
1034,8
1035,4
1036,4
1037,4
1038,6
1039,6
1040,6
1041,8
1042,8
1043,8
1044,4
1045,4
1046,4
1047,6
1048,6
1049,6
1050,8
1051,8
1052,8
1053,4
1054,4
1055,4
1056,6
1057,6
1058,6
1059,8
1060,8
1061,8
1062,4
1063,4
1064,4
1065,6
1066,6
1067,6
1068,8
1069,8
1070,8
1071,4
1072,4
1073,4
1074,6
1075,6
1076,6
1077,8
1078,8
1079,8
1080,4
1081,4
1082,4
1083,6
1084,6
1085,6
1086,8
1087,8
1088,8
1089,4
1090,4
1091,4
1092,6
1093,6
1094,6
1095,8
1096,8
1097,8
1098,4
1099,4
1100,4
1101,6
1102,6
1103,6
1104,8
1105,8
1106,8
1107,4
1108,4
1109,4
1110,6
1111,6
1112,6
1113,8
1114,8
1115,8
1116,4
1117,4
1118,4
1119,6
1120,6
1121,6
1122,8
1123,8
1124,8
1125,4
1126,4
1127,4
1128,6
1129,6
1130,6
1131,8
1132,8
1133,8
1134,4
1135,4
1136,4
1137,6
1138,6
1139,6
1140,8
1141,8
1142,8
1143,4
1144,4
1145,4
1146,6
1147,6
1148,6
1149,8
1150,8
1151,8
1152,4
1153,4
1154,4
1155,6
1156,6
1157,6
1158,8
1159,8
1160,8
1161,4
1162,4
1163,4
1164,6
1165,6
1166,6
1167,8
1168,8
1169,8
1170,4
1171,4
1172,4
1173,6
1174,6
1175,6
1176,8
1177,8
1178,8
1179,4
1180,4
1181,4
1182,6
1183,6
1184,6
1185,8
1186,8
1187,8
1188,4
1189,4
1190,4
1191,6
1192,6
1193,6
1194,8
1195,8
1196,8
1197,4
1198,4
1199,4
1200,6
1201,6
1202,6
1203,8
1204,8
1205,8
1206,4
1207,4
1208,4
1209,6
1210,6
1211,6
1212,8
1213,8
1214,8
1215,4
1216,4
1217,4
1218,6
1219,6
1220,6
1221,8
1222,8
1223,8
1224,4
1225,4
1226,4
1227,6
1228,6
1229,6
1230,8
1231,8
1232,8
1233,4
1234,4
1235,4
1236,6
1237,6
1238,6
1239,8
1240,8
1241,8
1242,4
1243,4
1244,4
1245,6
1246,6
1247,6
1248,8
1249,8
1250,8
1251,4
1252,4
1253,4
1254,6
1255,6
1256,6
1257,8
1258,8
1259,8
1260,4
1261,4
1262,4
1263,6
1264,6
1265,6
1266,8
1267,8
1268,8
1269,4
1270,4
1271,4
1272,6
1273,6
1274,6
1275,8
1276,8
1277,8
1278,4
1279,4
1280,4
1281,6
1282,6
1283,6
1284,8
1285,8
1286,8
1287,4
1288,4
1289,4
1290,6
1291,6
1292,6
1293,8
1294,8
1295,8
