,Número da Trajetória,Sorteio,Tempo 1,Tempo 2,ID,Fase,Score total,Score Parcial,Proporção espacial x,Proporção espacial y,Trajetória Completa,Trajetória Simplificada,Acuracia,Media Acuracia,Taxa de Falsos Positivos,Media FPR,Similaridade,Media Similaridade,Desempenho,Desempenho ponderado com proporção,Complexidade,nivel
0,1,1,737434.5220965277,737434.523704375,df_ID_08,Fase Exploracao,,,,,,,,,,,,,,,4,Fácil
1,2,14,737434.5242066666,737434.5250135764,df_ID_08,Fase Exploracao,,,,,,,,,,,,,,,4,Fácil
2,3,15,737434.5255150578,737434.5266903704,df_ID_08,Fase Exploracao,,,,,,,,,,,,,,,4,Fácil
3,4,6,737434.527191875,737434.5280565162,df_ID_08,Fase Exploracao,,,,,,,,,,,,,,,6,Médio
4,5,18,737434.5285579051,737434.5295331713,df_ID_08,Fase Exploracao,,,,,,,,,,,,,,,6,Médio
5,6,8,737434.5300345371,737434.5309732754,df_ID_08,Fase Exploracao,,,,,,,,,,,,,,,6,Médio
6,7,16,737434.531474699,737434.5323561921,df_ID_08,Fase Exploracao,,,,,,,,,,,,,,,8,Difícil
7,8,4,737434.532857581,737434.5339348959,df_ID_08,Fase Exploracao,,,,,,,,,,,,,,,8,Difícil
8,9,2,737434.5344364005,737434.5348751274,df_ID_08,Fase Exploracao,,,,,,,,,,,,,,,8,Difícil
9,1,9,737434.5353764583,737434.5361671412,df_ID_08,Fase Exploracao,,,,,,,,,,,,,,,4,Fácil
10,2,13,737434.5366685532,737434.5374307291,df_ID_08,Fase Exploracao,,,,,,,,,,,,,,,4,Fácil
11,3,5,737434.5379320834,737434.5384114815,df_ID_08,Fase Exploracao,,,,,,,,,,,,,,,4,Fácil
12,4,10,737434.5389129398,737434.5395023264,df_ID_08,Fase Exploracao,,,,,,,,,,,,,,,6,Médio
13,5,7,737434.5400037385,737434.5405941319,df_ID_08,Fase Exploracao,,,,,,,,,,,,,,,6,Médio
14,6,17,737434.5410955555,737434.5418497106,df_ID_08,Fase Exploracao,,,,,,,,,,,,,,,6,Médio
15,7,11,737434.5423511342,737434.5428508217,df_ID_08,Fase Exploracao,,,,,,,,,,,,,,,8,Difícil
16,8,12,737434.5433521643,737434.5438644097,df_ID_08,Fase Exploracao,,,,,,,,,,,,,,,8,Difícil
17,9,3,737434.5443658102,737434.5447878819,df_ID_08,Fase Exploracao,,,,,,,,,,,,,,,8,Difícil
18,1,1,737434.5238110301,737434.524100382,df_ID_08,Fase Execucao,0.0,0.0,0.8461538461538461,0.8168744007670182,"[1, 1, 1, 2, 3, 2, 3, 3, 2, 4, 4, 4]","[1, 2, 3, 2, 3, 2, 4]",0.875,0.59375,0.2857142857142857,0.25383597883597886,0.8315131637046653,0.8435594603731744,0.8069329593301265,0.6709761523687228,4,Fácil
19,2,14,737434.5251196527,737434.5254090047,df_ID_08,Fase Execucao,0.13333333333333333,0.1125341101851169,0.8653846153846154,0.822627037392138,"[1, 1, 1, 3, 3, 3, 2, 2, 4, 2, 4]","[1, 3, 2, 4, 2, 4]",0.875,0.59375,0.25,0.25383597883597886,0.9435254316870533,0.8435594603731744,0.8561751438956845,0.7226168098568646,4,Fácil
20,3,15,737434.5267964583,737434.5270858217,df_ID_08,Fase Execucao,0.30000000000000004,0.2523446603731839,0.8788461538461538,0.8034515819750719,"[1, 1, 3, 1, 3, 3, 2, 2, 4, 2, 4, 4]","[1, 3, 1, 3, 2, 4, 2, 4]",0.875,0.59375,0.0,0.25383597883597886,0.8748222731857229,0.8435594603731744,0.916607424395241,0.7710032973485197,4,Fácil
21,4,6,737434.5281625463,737434.5284518981,df_ID_08,Fase Execucao,0.23809523809523808,0.21294303730785033,0.8788461538461538,0.909875359539789,"[1, 1, 1, 3, 3, 3, 2, 2, 2, 4, 4, 4]","[1, 3, 2, 4]",0.5,0.59375,1.0,0.25383597883597886,0.9043918002181836,0.8435594603731744,0.4681306000727279,0.4186776377121797,6,Médio
22,5,18,737434.5296391782,737434.5299285301,df_ID_08,Fase Execucao,0.5476190476190476,0.4592483818514499,0.7923076923076923,0.8849472674976031,"[1, 2, 1, 1, 2, 3, 3, 3, 1, 1, 4, 4, 2, 2, 2, 4]","[1, 2, 1, 2, 3, 1, 4, 2, 4]",0.875,0.59375,0.25,0.25383597883597886,0.7905694150420949,0.8435594603731744,0.8051898050140317,0.6752542970222216,6,Médio
23,6,8,737434.5310792709,737434.5313686343,df_ID_08,Fase Execucao,0.42857142857142855,0.39357714433217783,0.8903846153846153,0.9463087248322147,"[1, 1, 1, 3, 3, 3, 2, 4, 4, 3, 3, 2, 4, 4, 4, 7, 3, 3, 4, 4, 4]","[1, 3, 2, 4, 3, 2, 4, 7, 3, 4]",0.75,0.59375,1.0,0.25383597883597886,0.7717912912539392,0.8435594603731744,0.507263763751313,0.46584398830768003,6,Médio
24,7,16,737434.5324621991,737434.5327515509,df_ID_08,Fase Execucao,0.31481481481481477,0.28986198520594486,0.8865384615384615,0.9549376797698945,"[3, 1, 1, 1, 3, 3, 2, 2, 2, 4, 4, 1, 2, 4]","[3, 1, 3, 2, 4, 1, 2, 4]",0.75,0.59375,0.3333333333333333,0.25383597883597886,0.8526315789473684,0.8435594603731744,0.7564327485380117,0.6964764294685258,8,Difícil
25,8,4,737434.5340409027,737434.5343302547,df_ID_08,Fase Execucao,0.40740740740740744,0.36358234109911963,0.8692307692307693,0.9156279961649089,"[3, 1, 3, 1, 3, 1, 4, 4, 4, 2, 3, 2, 3, 3, 2, 4, 4, 4]","[3, 1, 3, 1, 3, 1, 4, 2, 3, 2, 3, 2, 4]",0.9375,0.59375,0.0,0.25383597883597886,0.8948143051452858,0.8435594603731744,0.9441047683817619,0.8425468356490222,8,Difícil
26,9,2,737434.5349811111,737434.5352704745,df_ID_08,Fase Execucao,0.18518518518518517,0.1656192893609001,0.8673076923076923,0.9213806327900288,"[1, 1, 1, 3, 3, 3, 2, 2, 2, 4, 4, 4]","[1, 3, 2, 4]",0.5625,0.59375,0.8,0.25383597883597886,0.8222222222222222,0.8435594603731744,0.5282407407407407,0.47242902290196753,8,Difícil
27,1,9,737434.5362731366,737434.5365625,df_ID_08,Fase Execucao,0.3666666666666667,0.3048885119354918,0.8461538461538461,0.8168744007670182,"[2, 2, 2, 1, 3, 1, 3, 3, 1, 4, 4, 4]","[2, 1, 3, 1, 3, 1, 4]",0.6875,0.59375,0.0,0.25383597883597886,0.7640931774583412,0.8435594603731744,0.817197725819447,0.6795114506786161,4,Fácil
28,2,13,737434.5375367246,737434.5378260764,df_ID_08,Fase Execucao,0.26666666666666666,0.2250682203702338,0.8653846153846154,0.822627037392138,"[2, 2, 2, 3, 3, 3, 1, 1, 4, 1, 4]","[2, 3, 1, 4, 1, 4]",0.4375,0.59375,0.0,0.25383597883597886,0.9067647005823629,0.8435594603731744,0.7814215668607876,0.6595243552960391,4,Fácil
